Id,Title,Nickname,这列写备注（吐槽），C列的内容如果有中文逗号会像这样标红,,,,,,,,,,,,,,,,,,,,,,
1,Yes! BanG_Dream!,"炸梦,是的炸梦,新手村,新手教学",,,,,,,,,,,,,,,,,,,,,,,
2,STAR BEAT!〜ホシノコドウ〜,"↑↓,↓↑,sb",,,,,,,,,,,,,,,,,,,,,,,
3,ぽっぴん’しゃっふる,薄饼香呼呼,,,,,,,,,,,,,,,,,,,,,,,
4,ティアドロップス,"泪滴,死亡三连,tear",,,,,,,,,,,,,,,,,,,,,,,
5,夏空 SUN! SUN! SEVEN!,夏空日日七,,,,,,,,,,,,,,,,,,,,,,,
7,God knows...,"神知,凉宫春日,天知道,gk",,,,,,,,,,,,,,,,,,,,,,,
8,空色デイズ,"空色days,钻头",,,,,,,,,,,,,,,,,,,,,,,
9,ETERNAL BLAZE,"永恒火焰,slb,奈叶,eb",,,,,,,,,,,,,,,,,,,,,,,
10,Alchemy,炼金术,,,,,,,,,,,,,,,,,,,,,,,
11,Butter-Fly,"黄油飞,数码宝贝,蝴蝶",,,,,,,,,,,,,,,,,,,,,,,
12,走り始めたばかりのキミに,"走你,走始",,,,,,,,,,,,,,,,,,,,,,,
13,1000回潤んだ空,"千空,千回润空,千回空",,,,,,,,,,,,,,,,,,,,,,,
14,カルマ,"力儿又,力儿马,深渊传说,卡鲁玛,卡尔玛",,,,,,,,,,,,,,,,,,,,,,,
15,Don’t say “lazy”,"轻音少女,不要开摆,dslz,主唱在打鼓,不要说懒",,,,,,,,,,,,,,,,,,,,,,,
16,Hacking to the Gate,"石头门,命运石之门,httg",,,,,,,,,,,,,,,,,,,,,,,
17,魂のルフラン,"魂回,魂之轮回, EVA,魂轮",,,,,,,,,,,,,,,,,,,,,,,
18,secret base ～君がくれたもの～,"未闻花名,那朵花",,,,,,,,,,,,,,,,,,,,,,,
19,ドリームパレード,"梦游,梦想游行",,,,,,,,,,,,,,,,,,,,,,,
20,シュガーソングとビターステップ,"糖歌,血界战线,🍬,糖",,,,,,,,,,,,,,,,,,,,,,,
21,いーあるふぁんくらぶ,"王力宏,China,fanclub",,,,,,,,,,,,,,,,,,,,,,,
22,シルエット,"剪影,silhouette,火影",,,,,,,,,,,,,,,,,,,,,,,
24,ときめきエクスペリエンス！,"op1,心跳体验,op,第一首歌",,,,,,,,,,,,,,,,,,,,,,,
25,キラキラだとか夢だとか ～Sing Girls～,"krkr,信鸽",,,,,,,,,,,,,,,,,,,,,,,
26,That Is How I Roll!,"我就是那样滚的,tihir,这就是我怎样滚的",,,,,,,,,,,,,,,,,,,,,,,
27,True color,"真色,真彩,tc",,,,,,,,,,,,,,,,,,,,,,,
28,Scarlet Sky,"绯色天空,绯空,ss",,,,,,,,,,,,,,,,,,,,,,,
29,BLACK SHOUT,"黑吼,黑叫,nasu,BLACK SHORT",,,,,,,,,,,,,,,,,,,,,,,
30,Re:birth day,"重生日,投胎日,rbd,群友下午好",,,,,,,,,,,,,,,,,,,,,,,
31,LOUDER,"老大,大声点,鬼屋,大点声",,,,,,,,,,,,,,,,,,,,,,,
32,しゅわりん☆どり〜みん,"修车,shuwa,修哇修哇",,,,,,,,,,,,,,,,,,,,,,,
33,パスパレボリューションず☆,怕死怕累泼硫酸,,,,,,,,,,,,,,,,,,,,,,,
34,はなまる◎アンダンテ,"花圆,花圈",,,,,,,,,,,,,,,,,,,,,,,
35,えがおのオーケストラっ！,"orchestra,管弦乐团,笑容管弦乐",,,,,,,,,,,,,,,,,,,,,,,
36,ハピネスっ！ハピィーマジカルっ♪,"happiness,快乐魔法",,,,,,,,,,,,,,,,,,,,,,,
37,ゴーカ！　ごーかい！？　ファントムシーフ！,"贼船,怪盗",,,,,,,,,,,,,,,,,,,,,,,
40,Happy Happy Party！,"哈皮哈皮爬梯,ykn听了都说好,憨批,hhp",,,,,,,,,,,,,,,,,,,,,,,
41,Don’t be afraid!,"别怕,我们遇到什么困难也不要怕,别怂",,,,,,,,,,,,,,,,,,,,,,,
42,光るなら,"四谎op,绽放光芒",,,,,,,,,,,,,,,,,,,,,,,
43,前へススメ！,"向前,速食面",,,,,,,,,,,,,,,,,,,,,,,
44,そばかす,"雀斑,浪客剑心",,,,,,,,,,,,,,,,,,,,,,,
45,夢みるSunflower,太阳花,,,,,,,,,,,,,,,,,,,,,,,
46,Little Busters!,LB,,,,,,,,,,,,,,,,,,,,,,,
47,キミにもらったもの,"谢谢你,催眠曲,宝物",,,,,,,,,,,,,,,,,,,,,,,
48,正解はひとつ!じゃない!!,"哦嗨哟,抹布洗,正解",,,,,,,,,,,,,,,,,,,,,,,
49,天体観測,"您,AP,天体观您,观星,天体观测",,,,,,,,,,,,,,,,,,,,,,,
50,MOON PRIDE,"晒你妹卡,美少女战士,美战,mp",,,,,,,,,,,,,,,,,,,,,,,
51,どきどきSING OUT!,"ksm,cdd,香澄",,,,,,,,,,,,,,,,,,,,,,,
52,ハッピーサマーウェディング,快乐夏日婚礼,,,,,,,,,,,,,,,,,,,,,,,
53,陽だまりロードナイト,"蔷薇辉石,yuki,锁手三纵",,,,,,,,,,,,,,,,,,,,,,,
54,great escape,"大逃亡,进击的巨人,进巨,核桃,ge",,,,,,,,,,,,,,,,,,,,,,,
55,紅蓮の弓矢,"红莲的弓矢,进击的巨人,进巨,红莲",,,,,,,,,,,,,,,,,,,,,,,
56,熱色スターマイン,"热色星火,星石,热色",,,,,,,,,,,,,,,,,,,,,,,
57,花園電気ギター！！！,"花园电气吉他,otae,花园吉他",,,,,,,,,,,,,,,,,,,,,,,
58,チョコレイトの低音レシピ,"里美,rimi,李美丽",,,,,,,,,,,,,,,,,,,,,,,
59,ふわふわ時間,"滑滑蛋,轻音少女,k-on",,,,,,,,,,,,,,,,,,,,,,,
60,ゆら・ゆらRing-Dong-Dance,"彩千圣,情歌对唱",,,,,,,,,,,,,,,,,,,,,,,
61,夏のドーン！,夏咚,,,,,,,,,,,,,,,,,,,,,,,
62,ひまわりの約束,"向日葵的约定,哆啦A梦",,,,,,,,,,,,,,,,,,,,,,,
63,The Everlasting Guilty Crown,"罪恶王冠,网管,王冠op",,,,,,,,,,,,,,,,,,,,,,,
64,八月のif,八月的伊芙,,,,,,,,,,,,,,,,,,,,,,,
65,Hey-day狂騒曲（カプリチオ）,"capriccio,狂骚,你开头gr了",,,,,,,,,,,,,,,,,,,,,,,
66,アスノヨゾラ哨戒班,"烧鸡班,明日夜空,佐仓",,,,,,,,,,,,,,,,,,,,,,,
67,only my railgun,"电磁炮,omr,炮姐,超炮",,,,,,,,,,,,,,,,,,,,,,,
68,YAPPY！SCHOOL CARNIVAL☆彡,"鸭皮,丫皮,三撇,劲爆12分双押",,,,,,,,,,,,,,,,,,,,,,,
69,せかいのっびのびトレジャー！,"打碟,搓碟,天线宝宝,绿条,yo,哟",,,,,,,,,,,,,,,,,,,,,,,
70,SURVIVOR ねばーぎぶあっぷ！,无人岛,,,,,,,,,,,,,,,,,,,,,,,
71,Red fraction,"黑礁,rf",,,,,,,,,,,,,,,,,,,,,,,
72,はなまるぴっぴはよいこだけ,"阿松,花丸",,,,,,,,,,,,,,,,,,,,,,,
73,Time Lapse,"延时,时间推移,tl",,,,,,,,,,,,,,,,,,,,,,,
74,遠い音楽～ハートビート～,"saaya,heartbeat,saya,沙绫",,,,,,,,,,,,,,,,,,,,,,,
75,－HEROIC ADVENT－,英雄降临,,,,,,,,,,,,,,,,,,,,,,,
76,Determination Symphony,"决意交响曲,决心交响曲,秋雨,DS,秋时雨,纱夜,吉他,姐妹",,,,,,,,,,,,,,,,,,,,,,,
77,ロメオ,"罗密欧,口×才,超长开头,honeyworks",,,,,,,,,,,,,,,,,,,,,,,
78,READY STEADY GO,"钢炼,rsg",,,,,,,,,,,,,,,,,,,,,,,
79,世界は恋に落ちている,"青春之旅,世界坠入爱河,honeyworks,世界恋落",,,,,,,,,,,,,,,,,,,,,,,
80,す、好きなんかじゃない！,"秋妈妈,ars",,,,,,,,,,,,,,,,,,,,,,,
81,千本桜,"千本樱,sakura",,,,,,,,,,,,,,,,,,,,,,,
82,恋は渾沌の隷也,"激萌萝莉,奈亚子,三只佩奇,恋混沌",,,,,,,,,,,,,,,,,,,,,,,
83,プライド革命,"自尊心革命,自豪革命,honeyworks",,,,,,,,,,,,,,,,,,,,,,,
84,深愛,"白色相簿,白1,深爱",,,,,,,,,,,,,,,,,,,,,,,
85,ハッピーシンセサイザ,"断手器,拍砖,快乐合成器",,,,,,,,,,,,,,,,,,,,,,,
86,君じゃなきゃダメみたい,"非你不可,月刊少女,洗你大衣,搓衣板",,,,,,,,,,,,,,,,,,,,,,,
87,残酷な天使のテーゼ,"残酷天使,残纲,eva",,,,,,,,,,,,,,,,,,,,,,,
88,Dragon Night,"龙夜,313combo",单独313词条不触发（优先度原因）,,,,,,,,,,,,,,,,,,,,,,
89,Redo,"RE0,27耻,重开",,,,,,,,,,,,,,,,,,,,,,,
90,クインティプル☆すまいる,quintuple smile,,,,,,,,,,,,,,,,,,,,,,,
91,クリスマスのうた,圣诞歌,,,,,,,,,,,,,,,,,,,,,,,
92,B.O.F,"sae头锤,名场面,bof",,,,,,,,,,,,,,,,,,,,,,,
93,Y.O.L.O！！！！！,"大哥上楼梯,yolo,斜楼梯",,,,,,,,,,,,,,,,,,,,,,,
94,わちゃ・もちゃ・ぺったん行進曲,"企鹅进行曲,相羽爱奈进行曲,i83进行曲,花音可爱捏",,,,,,,,,,,,,,,,,,,,,,,
95,CiRCLING,"圈圈,圆圈,原",,,,,,,,,,,,,,,,,,,,,,,
96,ONENESS,"onemiss,1miss,拇指党震怒",,,,,,,,,,,,,,,,,,,,,,,
97,Opera of the wasteland,"歌剧,网游,废土,NFO,ootw",,,,,,,,,,,,,,,,,,,,,,,
100,メランコリック,"melancholic,忧郁",,,,,,,,,,,,,,,,,,,,,,,
101,SAKURAスキップ,"樱花跳,new game",,,,,,,,,,,,,,,,,,,,,,,
104,もういちど ルミナス,"pp2,引牛之主,再来,再一次 闪耀,再次闪耀",,,,,,,,,,,,,,,,,,,,,,,
105,Shangri-La,"香格里拉,苍穹之法芙娜",,,,,,,,,,,,,,,,,,,,,,,
106,Wonderland Girl,"噜噜噜噜,噜1,仙境,百慕大三角,日菜进行曲,hina进行曲",,,,,,,,,,,,,,,,,,,,,,,
107,fantastic dreamer,"素晴,fd",,,,,,,,,,,,,,,,,,,,,,,
108,ハレ晴レユカイ,"晴天好心情,凉宫,宅舞",,,,,,,,,,,,,,,,,,,,,,,
109,This game,"鲨鱼,游戏人生,虎纹鲨鱼,捕鱼达人,tg",,,,,,,,,,,,,,,,,,,,,,,
110,GLAMOROUS SKY,"媚惑天空,nana,gs",,,,,,,,,,,,,,,,,,,,,,,
111,軌跡,"刀,轨迹,5th,有利息",,,,,,,,,,,,,,,,,,,,,,,
112,Light Delight,LD,,,,,,,,,,,,,,,,,,,,,,,
113,Jamboree!Journey!,JJ,,,,,,,,,,,,,,,,,,,,,,,
115,私の心はチョココロネ,"巧克力螺,我的心是巧克力螺",,,,,,,,,,,,,,,,,,,,,,,
116,気まぐれロマンティック,彩彩散步,,,,,,,,,,,,,,,,,,,,,,,
117,イマジネーション,"排球,imagination ",,,,,,,,,,,,,,,,,,,,,,,
118,Neo-Aspect,"na,r2,米歇尔",,,,,,,,,,,,,,,,,,,,,,,
119,Legendary,"传奇,打牌",,,,,,,,,,,,,,,,,,,,,,,
120,DAYS,"日,天",,,,,,,,,,,,,,,,,,,,,,,
121,COMIC PANIC!!!,"漫画,cp",,,,,,,,,,,,,,,,,,,,,,,
122,二重の虹(ダブル レインボウ),二重虹,,,,,,,,,,,,,,,,,,,,,,,
123,ふわふわ☆ゆめいろサンドイッチ,"呼哇呼哇,梦色三明治",,,,,,,,,,,,,,,,,,,,,,,
124,みくみくにしてあげる♪【してやんよ】,"把你mikumiku掉,亚美跳miku",,,,,,,,,,,,,,,,,,,,,,,
125,天下トーイツA to Z☆,"atz,a2z,阿三风,你行八行,武士道,天下统一",,,,,,,,,,,,,,,,,,,,,,,
126,Believe in my existence,"打牌,bime",,,,,,,,,,,,,,,,,,,,,,,
127,太陽曰く燃えよカオス,"太阳日,奈亚子,太阳曰",,,,,,,,,,,,,,,,,,,,,,,
128,六兆年と一夜物語,"希腊奶,各位群友晚上好,lzn,六兆年",,,,,,,,,,,,,,,,,,,,,,,
129,Fantastic future,"变态,不笑猫op",,,,,,,,,,,,,,,,,,,,,,,
130,最高(さあ行こう)！,最高,,,,,,,,,,,,,,,,,,,,,,,
131,ピコっと！パピっと！！ガルパ☆ピコ！！！,pico1,,,,,,,,,,,,,,,,,,,,,,,
132,ハイファイブ∞あどべんちゃっ,"旧宝岛,万万岁",,,,,,,,,,,,,,,,,,,,,,,
133,キミの記憶,"p3,你的记忆",,,,,,,,,,,,,,,,,,,,,,,
134,Reach Out To The Truth,p4,,,,,,,,,,,,,,,,,,,,,,,
135,Life Will Change,p5,,,,,,,,,,,,,,,,,,,,,,,
136,夏祭り,"夏寄,山本ptsd曲,马自立",,,,,,,,,,,,,,,,,,,,,,,
137,シャルル,"夏露露,呼诶诶,汁儿儿,咦呀",,,,,,,,,,,,,,,,,,,,,,,
138,ロミオとシンデレラ,"辛德瑞拉,罗密欧与朱丽叶,罗密欧与灰姑娘",,,,,,,,,,,,,,,,,,,,,,,
139,エイリアンエイリアン,外星人,,,,,,,,,,,,,,,,,,,,,,,
140,ロストワンの号哭,"佐仓号哭,32上上位,LOST ONE的号哭",,,,,,,,,,,,,,,,,,,,,,,
141,GO! GO! MANIAC,"锅盖面,ggm,k-on,kon,轻音少女,888",,,,,,,,,,,,,,,,,,,,,,,
142,Sanctuary,"圣域,水之国",,,,,,,,,,,,,,,,,,,,,,,
143,ガールズコード,girls,,,,,,,,,,,,,,,,,,,,,,,
144,ツナグ、ソラモヨウ,ag2,,,,,,,,,,,,,,,,,,,,,,,
145,DISCOTHEQUE,"迪斯科,十字架与吸血鬼",,,,,,,,,,,,,,,,,,,,,,,
146,新宝島,"心宝岛,猛男舞,恐龙妈妈,konomama",,,,,,,,,,,,,,,,,,,,,,,
